id,score,created_at,updated_at,user_id,seen_live,event_id
821,0,2015-07-14 19:57:54.132397,2015-07-14 19:57:54.132397,15,,
822,0,2015-07-14 21:00:18.553972,2015-07-14 21:00:18.553972,15,,
824,0,2015-07-15 02:13:40.98761,2015-07-15 02:13:40.98761,15,,
825,0,2015-07-15 02:15:34.823571,2015-07-15 02:15:34.823571,15,,
826,0,2015-07-15 02:35:11.540423,2015-07-15 02:35:11.540423,15,,
827,0,2015-07-15 02:38:23.416158,2015-07-15 02:38:23.416158,15,,
828,0,2015-07-15 02:38:32.587265,2015-07-15 02:38:32.587265,15,,
829,0,2015-07-15 03:00:13.751838,2015-07-15 03:00:13.751838,15,,
830,0,2015-07-15 03:13:47.079414,2015-07-15 03:13:47.079414,15,,
831,0,2015-07-15 03:20:00.464847,2015-07-15 03:20:00.464847,15,,
832,0,2015-07-15 03:28:38.970195,2015-07-15 03:28:38.970195,15,,
833,0,2015-07-15 03:31:12.042759,2015-07-15 03:31:12.042759,15,,
834,0,2015-07-15 03:31:23.683342,2015-07-15 03:31:23.683342,15,,
835,0,2015-07-15 03:31:38.027538,2015-07-15 03:31:38.027538,15,,
836,0,2015-07-15 03:31:47.143042,2015-07-15 03:31:47.143042,15,,
837,0,2015-07-15 04:01:53.653126,2015-07-15 04:01:53.653126,15,,
838,0,2015-07-15 04:02:00.728296,2015-07-15 04:02:00.728296,15,,
839,0,2015-07-15 04:02:22.843579,2015-07-15 04:02:22.843579,15,,
840,0,2015-07-15 04:02:33.297244,2015-07-15 04:02:33.297244,15,,
841,0,2015-07-15 04:03:01.694874,2015-07-15 04:03:01.694874,15,,
842,0,2015-07-15 04:03:24.3106,2015-07-15 04:03:24.3106,15,,
843,0,2015-07-15 04:03:36.264698,2015-07-15 04:03:36.264698,15,,
844,0,2015-07-15 16:51:40.377789,2015-07-15 16:51:40.377789,15,,
845,0,2015-07-15 17:09:15.800127,2015-07-15 17:09:15.800127,15,,
846,0,2015-07-15 17:09:50.088873,2015-07-15 17:09:50.088873,15,,
847,0,2015-07-15 17:10:18.35905,2015-07-15 17:10:18.35905,15,,
924,2,2015-07-22 14:50:25.454315,2015-07-22 15:07:18.101992,15,,
848,4,2015-07-15 17:10:41.594711,2015-07-15 17:28:20.94298,15,,161
849,0,2015-07-15 17:28:21.271354,2015-07-15 17:28:21.271354,15,,
850,0,2015-07-15 17:29:58.610004,2015-07-15 17:29:58.610004,15,,
851,0,2015-07-15 17:30:12.586359,2015-07-15 17:30:12.586359,15,,
852,0,2015-07-15 17:30:35.41148,2015-07-15 17:30:35.41148,15,,
853,0,2015-07-15 18:00:57.487007,2015-07-15 18:00:57.487007,15,,
854,0,2015-07-15 18:54:17.002034,2015-07-15 18:54:17.002034,15,,
855,0,2015-07-16 01:21:48.818684,2015-07-16 01:21:48.818684,42,,
856,0,2015-07-16 19:35:44.108953,2015-07-16 19:35:44.108953,15,,
857,0,2015-07-16 19:37:19.701781,2015-07-16 19:37:19.701781,15,,
858,0,2015-07-16 21:11:27.477838,2015-07-16 21:11:27.477838,15,,
859,0,2015-07-17 14:01:19.931742,2015-07-17 14:01:19.931742,15,,
860,3,2015-07-17 15:55:14.757363,2015-07-17 15:55:28.143238,15,,
925,0,2015-07-22 15:34:41.921276,2015-07-22 15:34:41.921276,15,,
861,4,2015-07-17 16:24:48.417273,2015-07-17 16:40:53.067784,21,,162
862,0,2015-07-17 16:41:10.415964,2015-07-17 16:41:10.415964,21,,
863,0,2015-07-17 16:50:17.766945,2015-07-17 16:50:17.766945,21,,
864,0,2015-07-17 16:50:19.727502,2015-07-17 16:50:19.727502,21,,
865,0,2015-07-17 17:14:12.182826,2015-07-17 17:14:12.182826,15,,
866,0,2015-07-17 17:18:21.073971,2015-07-17 17:18:21.073971,21,,
867,0,2015-07-17 17:20:25.965833,2015-07-17 17:20:25.965833,15,,
868,0,2015-07-17 17:25:52.437037,2015-07-17 17:25:52.437037,15,,
869,0,2015-07-17 17:28:29.08942,2015-07-17 17:28:29.08942,21,,
870,0,2015-07-17 20:35:07.733144,2015-07-17 20:35:07.733144,15,,
871,0,2015-07-17 20:36:53.094046,2015-07-17 20:36:53.094046,15,,
872,0,2015-07-17 20:37:05.263856,2015-07-17 20:37:05.263856,15,,
873,0,2015-07-17 20:38:30.433,2015-07-17 20:38:30.433,15,,
874,0,2015-07-17 20:41:38.916777,2015-07-17 20:41:38.916777,15,,
875,0,2015-07-17 20:52:15.673456,2015-07-17 20:52:15.673456,15,,
876,0,2015-07-17 21:01:40.190062,2015-07-17 21:01:40.190062,15,,
877,0,2015-07-17 21:24:02.907935,2015-07-17 21:24:02.907935,15,,
878,0,2015-07-17 21:24:34.756775,2015-07-17 21:24:34.756775,15,,
879,0,2015-07-17 22:19:42.772748,2015-07-17 22:19:42.772748,15,,
880,0,2015-07-17 22:19:51.458019,2015-07-17 22:19:51.458019,15,,
881,0,2015-07-17 22:20:17.907389,2015-07-17 22:20:17.907389,15,,
882,0,2015-07-17 22:22:22.236174,2015-07-17 22:22:22.236174,15,,
883,0,2015-07-17 22:22:30.197381,2015-07-17 22:22:30.197381,15,,
884,0,2015-07-17 22:22:52.818825,2015-07-17 22:22:52.818825,15,,
885,0,2015-07-17 22:23:04.00127,2015-07-17 22:23:04.00127,15,,
886,0,2015-07-17 22:23:07.892055,2015-07-17 22:23:07.892055,15,,
887,0,2015-07-17 22:23:16.353264,2015-07-17 22:23:16.353264,15,,
888,0,2015-07-17 22:23:27.435943,2015-07-17 22:23:27.435943,15,,
889,0,2015-07-17 22:23:36.587893,2015-07-17 22:23:36.587893,15,,
890,0,2015-07-17 22:23:50.362225,2015-07-17 22:23:50.362225,15,,
891,0,2015-07-17 22:23:54.627893,2015-07-17 22:23:54.627893,15,,
892,0,2015-07-17 22:23:58.193778,2015-07-17 22:23:58.193778,15,,
