id,name,date,time,description,dj_id,venue_id,created_at,updated_at,promoter_id,festival_id,photo_file_name,photo_content_type,photo_file_size,photo_updated_at
153,,2015-06-30,,,1769,1620,2015-07-01 18:48:47.224886,2015-07-01 23:02:50.166831,54,,20150630_225151.jpg,image/jpeg,706322,2015-07-01 18:48:45.414819
155,,2015-07-02,,,1771,2012,2015-07-06 23:59:38.445749,2015-07-07 00:01:28.056412,51,,20150702_204202.jpg,image/jpeg,1110863,2015-07-06 23:59:36.802202
156,,2015-07-03,,,1772,,2015-07-07 00:13:41.275093,2015-07-07 00:13:41.275093,55,,20150703_213748.jpg,image/jpeg,1006277,2015-07-07 00:13:38.745031
154,,2015-07-04,,,1770,2022,2015-07-06 14:55:45.566372,2015-07-07 13:55:07.407631,2,,20150705_073615.jpg,image/jpeg,1158655,2015-07-07 13:55:03.356224
157,,2015-07-09,,,1773,1783,2015-07-10 13:44:51.61671,2015-07-10 13:44:51.61671,,,,,,
158,,2015-07-08,,,,1912,2015-07-10 13:50:26.591784,2015-07-10 13:50:26.591784,,,,,,
160,,2015-06-20,,,1253,,2015-07-13 19:46:22.419794,2015-07-13 19:46:22.419794,13,,IMG_2524.JPG,image/jpeg,267441,2015-07-13 19:46:16.428973
161,,2015-07-14,,,1774,1708,2015-07-15 17:28:20.25628,2015-07-15 17:28:20.25628,,,20150714_201040.jpg,image/jpeg,834693,2015-07-15 17:28:19.050566
159,,2015-07-10,,,462,,2015-07-12 18:02:06.584124,2015-07-16 19:37:12.655054,21,,20150711_051209.jpg,image/jpeg,1151597,2015-07-12 18:02:04.528623
162,,2015-04-25,,,1778,1984,2015-07-17 16:40:52.991381,2015-07-17 17:25:47.137261,,,,,,
163,,2015-07-17,,,1781,1730,2015-07-20 14:03:19.87337,2015-07-20 14:04:44.04869,43,,,,,
164,,2015-07-16,,,,1939,2015-07-21 00:46:46.292754,2015-07-21 00:46:46.292754,,,,,,
166,,2015-07-25,,,1782,,2015-07-28 23:15:58.308041,2015-07-28 23:15:58.308041,12,,20150725_185849.jpg,image/jpeg,1136166,2015-07-28 23:15:56.515862
167,,2015-07-30,,,,2032,2015-08-05 14:18:12.042409,2015-08-05 14:18:12.042409,,,20150730_190414.jpg,image/jpeg,848278,2015-08-05 14:18:09.840929
168,,2015-07-29,,,1783,1783,2015-08-11 15:21:51.925595,2015-08-11 15:21:51.925595,,,,,,
169,,2015-08-12,,,325,1638,2015-08-14 15:08:54.662661,2015-08-14 15:08:54.662661,,,,,,
170,,2015-08-23,,,1784,,2015-08-24 16:10:42.975567,2015-08-24 16:10:42.975567,55,,20150823_180216.jpg,image/jpeg,1149407,2015-08-24 16:10:36.783297
171,,2015-08-21,,,1785,2035,2015-08-24 19:25:52.758484,2015-08-24 19:37:53.938257,57,,20150822_005650.jpg,image/jpeg,768716,2015-08-24 19:25:41.941831
